기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20160401144500,89222.0,61948.2,63800.0,27273.8,44.0267,26730.8,43.1502
20160401145000,89222.0,62024.6,63800.0,27197.4,43.8495,26654.4,42.974
20160401145500,89222.0,61825.6,63800.0,27396.4,44.3124,26853.4,43.4341
20160401150000,89222.0,61526.7,63800.0,27695.3,45.0134,27152.3,44.1309
20160401150500,89222.0,61323.9,63800.0,27898.1,45.4931,27355.1,44.6076
20160401151000,89222.0,61184.2,63800.0,28037.8,45.8253,27494.8,44.9378
20160401151500,89222.0,61800.5,63800.0,27421.5,44.371,26878.5,43.4923
20160401152000,89222.0,61826.2,63800.0,27395.8,44.3111,26852.8,43.4328
20160401152500,89222.0,61991.3,63800.0,27230.7,43.9267,26687.7,43.0507
20160401153000,89222.0,62080.0,63800.0,27142.0,43.721,26599.0,42.8463
20160401153500,89222.0,61940.3,63800.0,27281.7,44.0452,26738.7,43.1686
20160401154000,89222.0,61936.0,63800.0,27286.0,44.0551,26743.0,43.1784
20160401154500,89222.0,61929.8,63800.0,27292.2,44.0696,26749.2,43.1928
20160401155000,89222.0,62277.3,63800.0,26944.7,43.2657,26401.7,42.3938
20160401155500,89222.0,61839.7,63800.0,27382.3,44.2794,26839.3,43.4013
20160401160000,89242.0,62144.4,63800.0,27097.6,43.6042,26554.6,42.7304
20160401160500,89242.0,61990.1,63800.0,27251.9,43.9616,26708.9,43.0857
20160401161000,89242.0,62244.2,63800.0,26997.8,43.374,26454.8,42.5017
20160401161500,89242.0,61973.6,63800.0,27268.4,44.0001,26725.4,43.1239
20160401162000,89242.0,62176.8,63800.0,27065.2,43.5294,26522.2,42.6561
20160401162500,89242.0,62624.0,63800.0,26618.0,42.5045,26075.0,41.6374
20160401163000,89436.0,62299.8,63800.0,27136.2,43.5573,26593.2,42.6857
20160401163500,89436.0,62385.9,63800.0,27050.1,43.3593,26507.1,42.489
20160401164000,89436.0,62150.5,63800.0,27285.5,43.9023,26742.5,43.0286
20160401164500,89436.0,61847.5,63800.0,27588.5,44.6072,27045.5,43.7293
20160401165000,89436.0,62044.6,63800.0,27391.4,44.148,26848.4,43.2728
20160401165500,89436.0,62060.6,63800.0,27375.4,44.1108,26832.4,43.2358
20160401170000,89436.0,61519.8,63800.0,27916.2,45.3775,27373.2,44.4949
20160401170500,89686.0,62058.4,63800.0,27627.6,44.5187,27084.6,43.6437
20160401171000,89686.0,61689.2,63800.0,27996.8,45.3837,27453.8,44.5035
20160401171500,89686.0,61759.9,63800.0,27926.1,45.2171,27383.1,44.3379
20160401172000,89686.0,61523.3,63800.0,28162.7,45.7758,27619.7,44.8932
