base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-07-19,14:00:00,2021-07-20,02:00:00,jeonbuk,63,89,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,sejong,66,103,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,seoul,60,127,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,ulsan,102,84,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-20,03:00:00,chungbuk,69,107,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,chungnam,68,100,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,daegu,89,90,24.0
2021-07-19,14:00:00,2021-07-20,03:00:00,daejeon,67,100,26.0
2021-07-19,14:00:00,2021-07-20,03:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,gwangju,58,74,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,gyeongbuk,89,91,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,gyeonggi,60,120,26.0
2021-07-19,14:00:00,2021-07-20,03:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-20,03:00:00,incheon,55,124,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,jeju,52,38,26.0
2021-07-19,14:00:00,2021-07-20,03:00:00,jeonbuk,63,89,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,sejong,66,103,25.0
2021-07-19,14:00:00,2021-07-20,03:00:00,seoul,60,127,26.0
2021-07-19,14:00:00,2021-07-20,03:00:00,ulsan,102,84,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,busan,98,76,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,chungbuk,69,107,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,chungnam,68,100,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,daegu,89,90,24.0
2021-07-19,14:00:00,2021-07-20,04:00:00,daejeon,67,100,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,gwangju,58,74,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,gyeongbuk,89,91,24.0
2021-07-19,14:00:00,2021-07-20,04:00:00,gyeonggi,60,120,26.0
2021-07-19,14:00:00,2021-07-20,04:00:00,gyeongnam,91,77,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,incheon,55,124,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,jeju,52,38,26.0
2021-07-19,14:00:00,2021-07-20,04:00:00,jeonbuk,63,89,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,sejong,66,103,25.0
2021-07-19,14:00:00,2021-07-20,04:00:00,seoul,60,127,26.0
2021-07-19,14:00:00,2021-07-20,04:00:00,ulsan,102,84,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,busan,98,76,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,chungbuk,69,107,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,chungnam,68,100,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,daegu,89,90,24.0
2021-07-19,14:00:00,2021-07-20,05:00:00,daejeon,67,100,26.0
2021-07-19,14:00:00,2021-07-20,05:00:00,gangwon,73,134,25.0
