id,cdate,land_wa,jeju_wa
250,2015-09-07,96.56,110.52
251,2015-09-08,95.72,126.07
252,2015-09-09,95.84,111.41
253,2015-09-10,96.18,110.78
254,2015-09-11,96.18,109.83
255,2015-09-12,99.6,119.52
256,2015-09-13,94.65,118.23
257,2015-09-14,95.57,125.64
258,2015-09-15,95.73,117.89
259,2015-09-16,95.16,118.83
260,2015-09-17,94.99,127.66
261,2015-09-18,95.02,127.06
262,2015-09-19,95.28,123.98
263,2015-09-20,92.2,125.79
264,2015-09-21,88.61,126.05
265,2015-09-22,95.05,127.41
266,2015-09-23,94.91,119.96
267,2015-09-24,95.32,117.91
268,2015-09-25,93.14,122.45
269,2015-09-26,53.7,118.64
270,2015-09-27,38.28,114.83
271,2015-09-28,47.01,117.87
272,2015-09-29,74.59,118.8
273,2015-09-30,85.73,119.96
274,2015-10-01,98.52,106.56
275,2015-10-02,99.67,110.21
276,2015-10-03,99.59,108.93
277,2015-10-04,93.83,102.7
278,2015-10-05,92.49,107.16
279,2015-10-06,99.32,106.11
280,2015-10-07,98.22,107.41
281,2015-10-08,98.55,97.83
282,2015-10-09,97.38,101.22
283,2015-10-10,99.23,108.96
284,2015-10-11,96.0,100.54
285,2015-10-12,99.39,108.7
286,2015-10-13,101.81,105.89
287,2015-10-14,99.57,103.23
288,2015-10-15,101.14,104.97
289,2015-10-16,101.39,106.21
290,2015-10-17,100.97,105.54
291,2015-10-18,94.51,94.37
292,2015-10-19,100.18,101.92
293,2015-10-20,99.07,103.55
294,2015-10-21,99.02,102.97
295,2015-10-22,101.43,105.69
296,2015-10-23,98.65,102.95
297,2015-10-24,96.22,101.82
298,2015-10-25,95.19,103.92
299,2015-10-26,98.16,105.34
300,2015-10-27,98.12,104.0
301,2015-10-28,97.13,103.6
302,2015-10-29,96.53,101.38
303,2015-10-30,97.71,103.06
304,2015-10-31,95.84,95.77
305,2015-11-01,85.33,99.51
306,2015-11-02,89.88,99.17
307,2015-11-03,94.71,94.48
308,2015-11-04,94.75,100.43
309,2015-11-05,95.02,107.81
310,2015-11-06,95.48,100.32
311,2015-11-07,99.42,106.85
312,2015-11-08,90.55,106.95
313,2015-11-09,93.89,102.05
314,2015-11-10,98.1,99.78
315,2015-11-11,96.67,106.58
316,2015-11-12,97.29,107.95
317,2015-11-13,101.18,104.0
318,2015-11-14,91.79,91.78
319,2015-11-15,91.66,92.03
320,2015-11-16,91.36,94.01
321,2015-11-17,95.54,95.42
322,2015-11-18,95.97,95.96
323,2015-11-19,95.77,95.77
324,2015-11-20,95.89,95.73
325,2015-11-21,93.81,93.67
326,2015-11-22,91.49,99.53
327,2015-11-23,91.18,96.19
328,2015-11-24,102.23,104.41
329,2015-11-25,98.06,100.04
330,2015-11-26,95.39,100.69
331,2015-11-27,96.48,100.73
332,2015-11-28,99.12,100.18
333,2015-11-29,92.86,92.04
334,2015-11-30,91.33,95.01
335,2015-12-01,97.72,101.63
336,2015-12-02,96.4,96.46
337,2015-12-03,95.87,95.71
338,2015-12-04,97.37,101.26
339,2015-12-05,98.67,114.51
340,2015-12-06,93.2,113.44
341,2015-12-07,97.57,101.93
342,2015-12-08,96.58,105.0
343,2015-12-09,96.85,96.81
344,2015-12-10,96.78,96.35
345,2015-12-11,96.01,95.92
346,2015-12-12,94.27,94.26
347,2015-12-13,92.6,92.14
348,2015-12-14,95.91,95.76
349,2015-12-15,95.83,101.09
350,2015-12-16,100.17,109.26
351,2015-12-17,97.5,106.57
352,2015-12-18,95.75,101.66
353,2015-12-19,93.83,99.85
354,2015-12-20,92.51,102.52
355,2015-12-21,95.8,102.38
356,2015-12-22,95.82,95.78
357,2015-12-23,95.84,95.54
358,2015-12-24,95.09,95.03
359,2015-12-25,93.2,99.49
360,2015-12-26,92.73,100.9
361,2015-12-27,83.66,102.57
362,2015-12-28,93.18,101.59
363,2015-12-29,95.97,108.69
364,2015-12-30,97.75,110.3
365,2015-12-31,93.59,93.21
366,2016-01-01,70.81,90.76
367,2016-01-02,75.07,99.99
368,2016-01-03,77.71,86.91
369,2016-01-04,89.15,90.4
370,2016-01-05,90.04,97.29
371,2016-01-06,90.46,96.72
372,2016-01-07,91.53,91.2
373,2016-01-08,90.42,98.53
374,2016-01-09,88.21,103.51
375,2016-01-10,86.48,98.35
376,2016-01-11,90.1,96.66
377,2016-01-12,97.34,103.18
378,2016-01-13,90.28,90.08
379,2016-01-14,93.51,96.6
380,2016-01-15,92.65,98.65
381,2016-01-16,89.85,104.69
382,2016-01-17,87.72,103.0
383,2016-01-18,93.06,96.65
384,2016-01-19,92.08,98.97
385,2016-01-20,92.63,98.34
386,2016-01-21,97.01,103.86
387,2016-01-22,92.28,110.48
388,2016-01-23,92.81,109.87
389,2016-01-24,88.74,102.16
390,2016-01-25,97.73,98.01
391,2016-01-26,92.46,92.4
392,2016-01-27,97.42,97.88
393,2016-01-28,93.16,93.09
394,2016-01-29,98.06,99.32
395,2016-01-30,90.01,89.83
396,2016-01-31,87.81,89.48
397,2016-02-01,92.09,91.98
398,2016-02-02,91.79,91.43
399,2016-02-03,91.09,89.74
400,2016-02-04,92.14,92.08
401,2016-02-05,89.68,89.56
402,2016-02-06,88.64,89.57
403,2016-02-07,78.3,80.82
404,2016-02-08,59.32,67.33
405,2016-02-09,53.4,70.64
406,2016-02-10,73.02,81.79
407,2016-02-11,86.15,87.23
408,2016-02-12,90.81,90.07
409,2016-02-13,90.12,88.99
410,2016-02-14,88.89,88.87
411,2016-02-15,91.64,91.54
412,2016-02-16,91.74,91.27
413,2016-02-17,90.63,89.75
414,2016-02-18,91.28,91.19
415,2016-02-19,89.24,89.18
416,2016-02-20,89.19,89.21
417,2016-02-21,86.67,86.69
418,2016-02-22,90.62,90.52
419,2016-02-23,89.8,87.72
420,2016-02-24,91.49,91.1
421,2016-02-25,89.92,89.35
422,2016-02-26,91.01,90.44
423,2016-02-27,88.53,88.54
424,2016-02-28,87.73,90.44
425,2016-02-29,90.87,89.58
426,2016-03-01,86.77,81.65
427,2016-03-02,89.58,82.27
428,2016-03-03,88.85,84.66
429,2016-03-04,89.19,86.75
430,2016-03-05,89.13,86.32
431,2016-03-06,86.34,84.1
432,2016-03-07,89.16,83.65
433,2016-03-08,89.39,84.53
434,2016-03-09,88.7,87.74
435,2016-03-10,89.02,87.85
436,2016-03-11,89.6,85.03
437,2016-03-12,89.08,87.29
438,2016-03-13,85.92,85.97
439,2016-03-14,87.6,87.43
440,2016-03-15,87.53,85.82
441,2016-03-16,87.39,79.38
442,2016-03-17,87.57,73.22
443,2016-03-18,87.11,77.7
444,2016-03-19,84.61,84.61
445,2016-03-20,83.61,83.61
446,2016-03-21,88.85,85.89
447,2016-03-22,87.29,87.27
448,2016-03-23,86.98,86.23
449,2016-03-24,87.08,85.83
450,2016-03-25,86.93,86.91
451,2016-03-26,84.59,82.74
452,2016-03-27,82.82,82.86
453,2016-03-28,84.12,84.77
454,2016-03-29,86.59,85.41
455,2016-03-30,86.52,81.79
456,2016-03-31,86.57,82.38
457,2016-04-01,75.76,75.66
458,2016-04-02,74.07,77.72
459,2016-04-03,78.68,80.26
460,2016-04-04,80.07,79.87
461,2016-04-05,75.46,75.45
462,2016-04-06,78.28,83.22
463,2016-04-07,80.26,81.69
464,2016-04-08,76.72,79.9
465,2016-04-09,74.94,77.47
466,2016-04-10,75.59,77.77
467,2016-04-11,76.12,79.83
468,2016-04-12,78.95,79.34
469,2016-04-13,76.09,77.24
470,2016-04-14,74.99,74.62
471,2016-04-15,74.91,79.02
472,2016-04-16,74.14,79.1
473,2016-04-17,76.03,79.95
474,2016-04-18,73.66,74.76
475,2016-04-19,75.56,75.52
476,2016-04-20,75.55,75.35
477,2016-04-21,75.45,75.39
478,2016-04-22,77.43,78.64
479,2016-04-23,73.88,73.3
480,2016-04-24,58.28,74.06
481,2016-04-25,71.62,74.79
482,2016-04-26,76.38,78.02
483,2016-04-27,75.51,75.49
484,2016-04-28,75.18,75.14
485,2016-04-29,74.94,74.87
486,2016-04-30,73.03,73.04
487,2016-05-01,57.23,75.53
488,2016-05-02,64.64,75.68
489,2016-05-03,69.25,75.77
490,2016-05-04,69.32,76.11
